"Statistic Label","Census Year","Sex","Type of difficulty or condition","Extent of difficulty or condition","Type of Communal Establishment","UNIT","VALUE"
"People with a disability","2022","Female","Difficulty participating in other activities","Some Extent","Other, including not stated","Number","114"
"People with a disability","2022","Female","Difficulty participating in other activities","Great Extent","All persons","Number","12826"
"People with a disability","2022","Female","Difficulty participating in other activities","Great Extent","Hotel","Number","196"
"People with a disability","2022","Female","Difficulty participating in other activities","Great Extent","Guest house, boarding house or B&B","Number","8"
"People with a disability","2022","Female","Difficulty participating in other activities","Great Extent","Tourist/youth hostel or campsite","Number","5"
"People with a disability","2022","Female","Difficulty participating in other activities","Great Extent","Student specific accommodation","Number","21"
"People with a disability","2022","Female","Difficulty participating in other activities","Great Extent","Religious community","Number","393"
"People with a disability","2022","Female","Difficulty participating in other activities","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","1098"
"People with a disability","2022","Female","Difficulty participating in other activities","Great Extent","Children's home","Number","1"
"People with a disability","2022","Female","Difficulty participating in other activities","Great Extent","Nursing home","Number","9349"
"People with a disability","2022","Female","Difficulty participating in other activities","Great Extent","Hospital","Number","1562"
"People with a disability","2022","Female","Difficulty participating in other activities","Great Extent","Defence establishment","Number",""
